,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2546,방배4동,장항2동,126.9923344,37.489007,126.7783329,37.649886,방배4동장항2동,32846,4099.425,31970
2547,상계6.7동,등촌제3동,127.0669541,37.654882,126.847881,37.5589789,상계6.7동등촌제3동,32110,4742.843,28600
2548,대치1동,제기제1동,127.0567047,37.4931821,127.0378551,37.5831612,대치1동제기제1동,12927,2914.104,15500
2549,면목제3.8동,진건읍,127.0880603,37.5829681,127.1777148,37.6546279,면목제3.8동진건읍,20060,1808.804,20190
2550,연희동,남영동,126.9351754,37.5739083,126.9748403,37.5457586,연희동남영동,8444,1582.349,10300
2551,강일동,상3동,127.173909,37.5649783,126.7544075,37.5005775,강일동상3동,48328,5891.04,42490
2552,둔촌제2동,풍납2동,127.1419221,37.5332885,127.1157686,37.5292584,둔촌제2동풍납2동,4163,778.341,5800
2553,신사동,구로제5동,127.0227814,37.5240101,126.8892945,37.5001593,신사동구로제5동,18761,3771.49,19800
2554,홍은제2동,회현동,126.9342509,37.5801972,126.9793216,37.5572864,홍은제2동회현동,6118,1122.131,8000
2555,증산동,혜화동,126.9070404,37.5843063,127.0005764,37.5869186,증산동혜화동,13148,2264.979,14200
2556,신월6동,목4동,126.8451512,37.5180328,126.86835,37.532425,신월6동목4동,6131,903.316,7300
2557,길동,군자동,127.1426791,37.5345598,127.0753494,37.5554853,길동군자동,7362,1634.067,9800
2558,길음제1동,쌍문제3동,127.0193925,37.6104856,127.0278643,37.6489775,길음제1동쌍문제3동,5073,1061.5,6900
2559,왕십리제2동,월곡제2동,127.0310207,37.5617987,127.0478758,37.6057667,왕십리제2동월곡제2동,6221,1766.061,10100
2560,장안제1동,장충동,127.066375,37.567842,127.0078812,37.5618946,장안제1동장충동,7410,1585.861,9500
2561,이태원제1동,양재2동,126.9950384,37.5325225,127.041188,37.470601,이태원제1동양재2동,10836,2235.081,13400
2562,장안제4동,구의제2동,127.0706,37.578483,127.0899111,37.5472481,장안제4동구의제2동,5528,1180.377,8000
2563,구산동,방화제1동,126.9103893,37.6117455,126.817026,37.5703659,구산동방화제1동,17628,2507.608,17000
2564,창신제2동,광희동,127.010863,37.574458,127.0050623,37.564494,창신제2동광희동,2343,704.74,4300
2565,양재1동,이촌제2동,127.026744,37.4716412,126.9547071,37.5262575,양재1동이촌제2동,14994,3404.091,17800
2566,번제2동,불광제2동,127.0387953,37.6323588,126.9257389,37.6208567,번제2동불광제2동,14964,2635.429,16600
2567,대림제3동,상계10동,126.8980312,37.4983347,127.060225,37.661274,대림제3동상계10동,33906,5540.811,31400
2568,월계3동,중계4동,127.0692485,37.6210475,127.0780091,37.6587275,월계3동중계4동,5101,1125.336,7000
2569,등촌제3동,행신2동,126.847881,37.5589789,126.8330498,37.6151731,등촌제3동행신2동,11218,1776.489,13030
2570,석관동,도봉제2동,127.061413,37.612957,127.046575,37.669751,석관동도봉제2동,7562,1306.508,8900
2571,상계1동,세곡동,127.0549781,37.6799006,127.1043555,37.4643683,상계1동세곡동,33680,3177.235,29000
2572,여의동,방배본동,126.934584,37.5177232,126.988785,37.4941452,여의동방배본동,8201,1228.142,9000
2573,상계6.7동,길동,127.0669541,37.654882,127.1426791,37.5345598,상계6.7동길동,21282,2736.813,21390
2574,시흥제1동,쌍문제4동,126.9032625,37.4535411,127.028425,37.656482,시흥제1동쌍문제4동,36176,5976.079,41950
2575,홍제제3동,방화제2동,126.9496737,37.5938295,126.8067549,37.5666997,홍제제3동방화제2동,19250,2417.419,17500
2576,인수동,회기동,127.0106307,37.6415105,127.0553132,37.5908083,인수동회기동,9460,2107.7,11300
2577,쌍문제3동,신월6동,127.0278643,37.6489775,126.8451512,37.5180328,쌍문제3동신월6동,30143,5130.239,29400
2578,방배3동,상계2동,126.9999918,37.4784409,127.0678377,37.6574727,방배3동상계2동,27590,4560.383,26200
2579,마장동,답십리제3동,127.045388,37.566325,127.0512678,37.5717963,마장동답십리제3동,959,378.211,3800
2580,번제3동,청운효자동,127.04665,37.625874,126.9706519,37.5841367,번제3동청운효자동,11669,1998.684,12600
2581,방학제3동,공항동,127.028036,37.6591685,126.8101437,37.5588296,방학제3동공항동,46802,3932.008,44690
2582,일원1동,이화동,127.0879629,37.491839,127.004338,37.577008,일원1동이화동,17574,3120.723,19500
2583,성수1가제2동,회기동,127.0443325,37.5462991,127.0553132,37.5908083,성수1가제2동회기동,6486,1309.316,8600
2584,망우본동,중곡제1동,127.1014684,37.6005732,127.080038,37.560675,망우본동중곡제1동,5081,965.541,6600
2585,서림동,여의동,126.9349995,37.4749956,126.934584,37.5177232,서림동여의동,6509,2067.494,9100
2586,행운동,영등포동,126.9570456,37.4806541,126.9106918,37.5203985,행운동영등포동,7799,1549.272,9100
2587,오륜동,이화동,127.1343,37.515425,127.004338,37.577008,오륜동이화동,18134,2803.584,18500
2588,영등포동,화곡본동,126.9106918,37.5203985,126.847725,37.544075,영등포동화곡본동,8858,1741.799,10000
2589,잠실본동,성현동,127.0832037,37.5060716,126.9481271,37.4895366,잠실본동성현동,14616,4002.715,21000
2590,평창동,하계1동,126.9681871,37.6063166,127.0725852,37.6405374,평창동하계1동,15712,3174.486,19300
2591,답십리제1동,휘경제2동,127.0512678,37.5717963,127.0685788,37.5902093,답십리제1동휘경제2동,3339,906.789,4900
2592,신정2동,화정1동,126.870679,37.5192314,126.8335106,37.6446876,신정2동화정1동,22800,3408.87,24670
2593,거여1동,화곡제1동,127.1432324,37.4969643,126.841562,37.530408,거여1동화곡제1동,36822,6095.868,41350
2594,창제2동,역촌동,127.0356387,37.6414033,126.915114,37.6044046,창제2동역촌동,15525,2923.567,16800
2595,수서동,가산동,127.104929,37.4889181,126.8917326,37.4769094,수서동가산동,25847,3907.469,26950
2596,신내2동,공릉2동,127.0942306,37.6061896,127.083488,37.621332,신내2동공릉2동,2943,832.869,5600
2597,난향동,도곡1동,126.918842,37.461429,127.0390246,37.488238,난향동도곡1동,14899,2144.506,14400
2598,도화동,화곡본동,126.9498798,37.5415123,126.847725,37.544075,도화동화곡본동,11882,2214.966,13300
2599,이화동,가양제2동,127.004338,37.577008,126.8512826,37.5673763,이화동가양제2동,19324,3801.135,21600
2600,잠실본동,구미1동,127.0832037,37.5060716,127.111763,37.349365,잠실본동구미1동,24428,2840.241,24050
2601,이화동,서강동,127.004338,37.577008,126.9321095,37.5477577,이화동서강동,8712,2404.086,12900
2602,천연동,삼선동,126.9590332,37.5711247,127.0146297,37.5908326,천연동삼선동,6766,1588.42,9900
2603,서강동,신촌동,126.9321095,37.5477577,126.9418114,37.5640923,서강동신촌동,2789,791.444,4700
2604,대림제2동,오류제2동,126.8982938,37.4927521,126.8395371,37.4888016,대림제2동오류제2동,7967,1832.284,10700
2605,명동,월계3동,126.98585,37.560042,127.0692485,37.6210475,명동월계3동,12557,3751.544,20100
2606,방배4동,전농제3동,126.9923344,37.489007,127.0600375,37.5781027,방배4동전농제3동,15381,2773.167,16000
2607,독산제1동,화곡제3동,126.897041,37.4702453,126.8384231,37.5425392,독산제1동화곡제3동,11481,2441.028,14400
2608,신정3동,방화제3동,126.8547892,37.5151685,126.8135628,37.5787386,신정3동방화제3동,11267,1942.857,12800
