start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
청담동,가양제1동,127.049291,37.525107,126.8447099,37.5695239,청담동가양제1동,23796,1922.281,20500
제기제1동,응암제2동,,,126.9230926,37.5946071,제기제1동응암제2동,0,0.0,0
구로제2동,소하1동,126.8834703,37.491377,126.8848965,37.4522686,구로제2동소하1동,6126,1071.647,7710
아현동,충현동,126.95215,37.547125,126.9546863,37.5648265,아현동충현동,2758,587.74,4300
중계4동,호평동,127.0780091,37.6587275,127.2486496,37.6549037,중계4동호평동,21828,1918.321,21890
연희동,중계1동,126.9351754,37.5739083,127.0775275,37.6525986,연희동중계1동,25638,2404.156,22500
대림제3동,번제3동,126.8980312,37.4983347,127.04665,37.625874,대림제3동번제3동,27073,2768.465,24000
신월5동,방화제2동,126.8271621,37.5386227,126.8067549,37.5666997,신월5동방화제2동,4696,568.903,6100
수유제2동,김포1동,127.0198777,37.6447027,,,수유제2동김포1동,0,0.0,0
장안제4동,한강로동,,,126.9692332,37.5281071,장안제4동한강로동,0,0.0,0
개봉제3동,세곡동,126.853838,37.485993,127.1043555,37.4643683,개봉제3동세곡동,29974,2884.904,30910
청림동,은천동,126.9585773,37.4918329,126.9424278,37.4853086,청림동은천동,2280,456.838,4000
신대방제2동,미성동,126.9244085,37.4984422,126.9155534,37.4761761,신대방제2동미성동,4229,746.319,5500
제기제2동,회현동,,,126.9793216,37.5572864,제기제2동회현동,0,0.0,0
묵제2동,쌍문제2동,127.0783313,37.6059528,127.0389254,37.6579935,묵제2동쌍문제2동,8585,1355.253,9900
인수동,반포3동,127.0106307,37.6415105,127.0056289,37.5120925,인수동반포3동,24415,3476.583,24500
방화제1동,신당제3동,126.817026,37.5703659,,,방화제1동신당제3동,0,0.0,0
공항동,방배3동,126.8101437,37.5588296,126.9999918,37.4784409,공항동방배3동,27261,3476.794,27070
역삼1동,수서동,127.0333574,37.4954841,127.104929,37.4889181,역삼1동수서동,8655,1178.288,9800
장지동,잠실6동,127.1354,37.4785,127.10065,37.518142,장지동잠실6동,11511,1124.376,12390
암사제1동,신내1동,127.132663,37.551508,127.099538,37.605882,암사제1동신내1동,13560,1133.338,14350
독산제1동,독산제4동,126.897041,37.4702453,126.9022074,37.4675452,독산제1동독산제4동,1076,217.349,3800
수유제2동,영종동,127.0198777,37.6447027,126.5315335,37.4942488,수유제2동영종동,62064,4838.282,57170
신내1동,왕십리제2동,127.099538,37.605882,127.0310207,37.5617987,신내1동왕십리제2동,10051,1847.428,11100
신내2동,미아동,127.0942306,37.6061896,127.0269791,37.6270736,신내2동미아동,10174,1653.757,11700
시흥제1동,고양동,126.9032625,37.4535411,126.9037032,37.7033661,시흥제1동고양동,36467,2553.733,35510
성산제2동,오남읍,126.9090061,37.568618,127.2047125,37.6988761,성산제2동오남읍,41931,3138.615,37190
남영동,성산제1동,126.9748403,37.5457586,126.90785,37.5634083,남영동성산제1동,11067,983.01,10600
면목본동,면목제3.8동,127.0874227,37.5873592,,,면목본동면목제3.8동,0,0.0,0
사근동,고촌면,127.0453315,37.5614846,126.7709246,37.6033003,사근동고촌면,34899,2399.036,30850
청담동,행당제1동,127.049291,37.525107,127.036188,37.558567,청담동행당제1동,5009,565.49,6100
왕십리제2동,인수동,127.0310207,37.5617987,127.0106307,37.6415105,왕십리제2동인수동,16101,1945.637,15300
