,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
6318,신내1동,답십리3동,127.099538,37.605882,127.0512678,37.5717963,신내1동답십리3동,7800,1320,0
6341,이문3동,회기동,127.065075,37.6033571,127.0553132,37.5908083,이문3동회기동,2100,360,0
6342,답십리3동,영등포동,127.0512678,37.5717963,126.9106918,37.5203985,답십리3동영등포동,19000,1680,0
6351,천호제3동,답십리4동,127.1332269,37.5361455,127.06125,37.567417,천호제3동답십리4동,8200,1200,0
6380,답십리4동,정릉제3동,127.06125,37.567417,127.004186,37.6089578,답십리4동정릉제3동,13000,1320,0
6424,정릉제4동,신당3동,127.0069798,37.6133387,127.0090022,37.552479,정릉제4동신당3동,16000,1920,0
6444,삼성동,상도1동,127.062532,37.5144424,126.953089,37.4981,삼성동상도1동,14000,1740,0
6450,신내1동,제기동,127.099538,37.605882,127.0378551,37.5831612,신내1동제기동,7300,1200,0
6493,방학제1동,답십리3동,127.0407251,37.6641763,127.0512678,37.5717963,방학제1동답십리3동,16000,1380,0
6501,우이동,신당6동,127.0118533,37.6479523,127.0194239,37.5600562,우이동신당6동,12000,2160,0
6533,신당4동,을지로동,127.014687,37.557083,126.9913342,37.5667163,신당4동을지로동,3500,600,0
6549,신당4동,서초1동,127.014687,37.557083,127.0195082,37.4901186,신당4동서초1동,9500,1440,0
6559,돈암제2동,면목3.8동,127.0105659,37.598039,127.0880603,37.5829681,돈암제2동면목3.8동,8500,1620,0
6561,월계1동,답십리3동,127.0630165,37.6199197,127.0512678,37.5717963,월계1동답십리3동,10000,1080,0
6592,신당3동,반포4동,127.0090022,37.552479,127.0003853,37.4974314,신당3동반포4동,8900,1140,0
6619,답십리4동,구의제2동,127.06125,37.567417,127.0899111,37.5472481,답십리4동구의제2동,4700,780,0
6647,대치1동,제기동,127.0567047,37.4931821,127.0378551,37.5831612,대치1동제기동,12000,1920,0
6648,면목3.8동,진건읍,127.0880603,37.5829681,127.1777148,37.6546279,면목3.8동진건읍,17000,1920,0
6661,장안2동,구의제2동,127.0706,37.578483,127.0899111,37.5472481,장안2동구의제2동,6400,840,0
6705,방배4동,전농3동,126.9923344,37.489007,127.0600375,37.5781027,방배4동전농3동,15000,1680,0
6712,신당2동,수서동,127.0082322,37.5542861,127.104929,37.4889181,신당2동수서동,14000,1560,0
6740,회현동,신당1동,126.9793216,37.5572864,127.0145478,37.5620973,회현동신당1동,4100,780,0
6741,신당1동,일원2동,127.0145478,37.5620973,127.0737224,37.4922048,신당1동일원2동,14000,1500,0
6744,시흥제3동,제기동,126.9057945,37.4403095,127.0378551,37.5831612,시흥제3동제기동,34000,2940,0
6780,신당6동,전농2동,127.0194239,37.5600562,127.0600375,37.5781027,신당6동전농2동,5900,1080,0
6809,신당1동,하계2동,127.0145478,37.5620973,127.0679733,37.6320048,신당1동하계2동,14000,2040,0
6811,화양동,상도1동,127.0713152,37.5465421,126.953089,37.4981,화양동상도1동,16000,1980,0
6830,장안1동,천호제3동,127.066375,37.567842,127.1332269,37.5361455,장안1동천호제3동,8000,1140,0
6831,장안1동,수유제3동,127.066375,37.567842,127.023125,37.638715,장안1동수유제3동,10000,1800,0
